Period,SALE,SOLD
Jan-2000,311,67
Feb-2000,299,78
Mar-2000,313,88
Apr-2000,305,78
May-2000,305,77
Jun-2000,306,71
Jul-2000,303,76
Aug-2000,302,73
Sep-2000,300,70
Oct-2000,301,71
Nov-2000,305,63
Dec-2000,298,65
Jan-2001,296,72
Feb-2001,296,85
Mar-2001,292,94
Apr-2001,294,84
May-2001,295,80
Jun-2001,301,79
Jul-2001,305,76
Aug-2001,308,74
Sep-2001,310,66
Oct-2001,308,66
Nov-2001,308,67
Dec-2001,308,66
Jan-2002,310,66
Feb-2002,313,84
Mar-2002,316,90
Apr-2002,324,86
May-2002,327,88
Jun-2002,328,84
Jul-2002,333,82
Aug-2002,334,90
Sep-2002,333,82
Oct-2002,335,77
Nov-2002,338,73
Dec-2002,339,70
Jan-2003,341,76
Feb-2003,341,82
Mar-2003,338,98
Apr-2003,340,91
May-2003,343,101
Jun-2003,343,107
Jul-2003,342,99
Aug-2003,346,105
Sep-2003,350,90
Oct-2003,361,88
Nov-2003,366,76
Dec-2003,370,75
Jan-2004,374,89
Feb-2004,372,102
Mar-2004,381,123
Apr-2004,383,109
May-2004,383,115
Jun-2004,383,105
Jul-2004,400,96
Aug-2004,405,102
Sep-2004,410,94
Oct-2004,413,101
Nov-2004,418,84
Dec-2004,422,83
Jan-2005,441,92
Feb-2005,446,109
Mar-2005,445,127
Apr-2005,445,116
May-2005,450,120
Jun-2005,455,115
Jul-2005,464,117
Aug-2005,476,110
Sep-2005,487,99
Oct-2005,490,105
Nov-2005,502,86
Dec-2005,511,87
Jan-2006,523,89
Feb-2006,539,88
Mar-2006,552,108
Apr-2006,565,100
May-2006,565,102
Jun-2006,566,98
Jul-2006,572,83
Aug-2006,566,88
Sep-2006,559,80
Oct-2006,554,74
Nov-2006,543,71
Dec-2006,536,71
Jan-2007,538,66
Feb-2007,544,68
Mar-2007,545,80
Apr-2007,548,83
May-2007,545,79
Jun-2007,542,73
Jul-2007,537,68
Aug-2007,533,60
Sep-2007,527,53
Oct-2007,514,57
Nov-2007,503,45
Dec-2007,497,44
Jan-2008,487,44
Feb-2008,477,48
Mar-2008,470,49
Apr-2008,458,49
May-2008,451,49
Jun-2008,435,45
Jul-2008,419,43
Aug-2008,409,38
Sep-2008,395,35
Oct-2008,381,32
Nov-2008,371,27
Dec-2008,353,26
Jan-2009,341,24
Feb-2009,326,29
Mar-2009,311,31
Apr-2009,300,32
May-2009,291,34
Jun-2009,280,37
Jul-2009,270,38
Aug-2009,261,36
Sep-2009,252,30
Oct-2009,243,33
Nov-2009,237,26
Dec-2009,234,24
Jan-2010,233,24
Feb-2010,231,27
Mar-2010,227,36
Apr-2010,217,41
May-2010,216,26
Jun-2010,212,28
Jul-2010,209,26
Aug-2010,206,23
Sep-2010,201,25
Oct-2010,199,23
Nov-2010,195,20
Dec-2010,190,23
Jan-2011,187,21
Feb-2011,183,22
Mar-2011,179,28
Apr-2011,173,30
May-2011,168,28
Jun-2011,166,28
Jul-2011,166,27
Aug-2011,162,25
Sep-2011,160,24
Oct-2011,158,25
Nov-2011,155,23
Dec-2011,151,24
Jan-2012,149,23
Feb-2012,147,30
Mar-2012,145,34
Apr-2012,144,34
May-2012,144,35
Jun-2012,145,34
Jul-2012,142,33
Aug-2012,143,31
Sep-2012,144,30
Oct-2012,147,29
Nov-2012,150,28
Dec-2012,150,28
Jan-2013,149,32
Feb-2013,152,36
Mar-2013,155,41
Apr-2013,161,43
May-2013,163,40
Jun-2013,161,43
Jul-2013,171,33
Aug-2013,175,31
Sep-2013,183,31
Oct-2013,183,36
Nov-2013,184,32
Dec-2013,186,31
Jan-2014,189,33
Feb-2014,187,35
Mar-2014,190,39
Apr-2014,190,39
May-2014,194,43
Jun-2014,199,38
Jul-2014,207,35
Aug-2014,207,36
Sep-2014,210,37
Oct-2014,209,38
Nov-2014,211,31
Dec-2014,210,35
Jan-2015,207,39
Feb-2015,203,45
Mar-2015,204,46
Apr-2015,206,48
May-2015,211,47
Jun-2015,216,44
Jul-2015,218,43
Aug-2015,217,41
Sep-2015,224,35
Oct-2015,226,39
Nov-2015,229,36
Dec-2015,232,38
Jan-2016,236,39
Feb-2016,239,45
Mar-2016,242,50
Apr-2016,242,55
May-2016,241,53
Jun-2016,244,50
Jul-2016,238,54
Aug-2016,240,46
Sep-2016,243,44
Oct-2016,249,46
Nov-2016,248,40
Dec-2016,254,39
Jan-2017,257,45
Feb-2017,259,51
Mar-2017,263,61
Apr-2017,267,56
May-2017,271,57
Jun-2017,275,56
Jul-2017,278,48
Aug-2017,282,45
Sep-2017,283,50
Oct-2017,287,49
Nov-2017,288,50
Dec-2017,293,45
Jan-2018,292,48
Feb-2018,294,54
Mar-2018,296,66
Apr-2018,299,61
May-2018,301,62
Jun-2018,310,56
Jul-2018,315,52
Aug-2018,320,47
Sep-2018,327,46
Oct-2018,333,43
Nov-2018,335,44
Dec-2018,345,38
Jan-2019,344,49
Feb-2019,339,57
Mar-2019,335,68
Apr-2019,332,64
May-2019,334,56
Jun-2019,331,66
Jul-2019,331,55
Aug-2019,326,57
Sep-2019,324,56
Oct-2019,323,55
Nov-2019,323,50
Dec-2019,322,49
Jan-2020,322,59
Feb-2020,325,63
Mar-2020,328,59
Apr-2020,321,52
May-2020,312,64
Jun-2020,301,79
Jul-2020,291,85
Aug-2020,286,81
Sep-2020,286,77
Oct-2020,284,78
Nov-2020,290,61
Dec-2020,299,63
Jan-2021,302,77
Feb-2021,306,70
Mar-2021,305,83
Apr-2021,317,74
May-2021,331,65
Jun-2021,347,61
Jul-2021,365,62
Aug-2021,378,55
Sep-2021,378,58
Oct-2021,388,51
Nov-2021,389,54
Dec-2021,388,61
